koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_impact,koi_duration,koi_depth,koi_sma,koi_incl,koi_model_snr,koi_count,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_srad,koi_smass,koi_kepmag
candidate,0,0,0,0,6.164876,135.63916,2454968.639,0.0,0.646,3.262,55.8,0.0648,86.69,14.4,4,0.6301,5854.0,4.406,1.012,0.951,12.882
candidate,0,0,0,0,60.32494216,243.892578,2455076.893,0.0,0.224,6.6188,20280.0,0.2998,89.83,347.2,5,0.0005,5485.0,4.556,0.867,0.986,15.403
candidate,0,0,0,0,29.1598615,150.69922,2454983.699,0.0,0.3619,4.803,488.0,0.1847,89.38,11.6,5,0.4866,5485.0,4.556,0.867,0.986,15.403
non-candidate,0,0,1,1,1.540397253,170.50479,2455003.505,0.0,1.225,2.1541,816.1,0.0264,51.56,38.8,1,0.6173,5663.0,4.53,0.915,1.034,15.974
non-candidate,0,0,1,1,2.99025443,171.9834,2455004.983,0.0,0.014,5.414,589.2,0.0367,89.81,48.5,1,0.0,4667.0,4.578,0.731,0.737,15.842
candidate,0,0,0,0,1.594745374,170.6483505,2455003.648,0.0,0.514,1.9604,15044.0,0.0258,85.25,1009.3,1,1.0,5934.0,4.491,0.893,0.901,15.53
candidate,0,0,0,0,4.783002698,170.508434,2455003.508,0.0,0.003,2.335,1008.7,0.0535,89.99,70.6,1,0.5746,5170.0,4.574,0.807,0.891,15.119
candidate,0,0,0,0,20.50588921,181.43428,2455014.434,0.0,0.26,4.0595,2105.5,0.1326,89.62,78.5,1,0.0106,4905.0,4.544,0.761,0.739,15.398
candidate,0,0,0,0,3.340218842,171.979062,2455004.979,0.0,0.466,1.9104,1632.6,0.0348,87.85,71.6,4,0.4776,3950.0,4.754,0.493,0.502,15.954
non-candidate,0,1,1,0,2.507089906,171.002455,2455004.002,0.0,1.255,2.0067,1339.2,0.0365,67.79,64.9,1,0.887,5926.0,4.506,0.939,1.03,15.555
candidate,0,0,0,0,18.64932728,174.771,2455007.771,0.0,0.08,4.4056,893.6,0.139,89.86,46.1,3,0.0683,5775.0,4.405,1.053,1.026,15.386
candidate,0,0,0,0,4.90144976,138.60548,2454971.605,0.0,0.529,4.1654,140.7,0.0586,86.1,50.6,4,0.0464,5847.0,4.191,1.402,1.113,12.487
candidate,0,0,0,0,9.75192101,138.78608,2454971.786,0.0,0.949,4.793,418.0,0.0902,80.97,28.5,3,0.3894,5775.0,4.405,1.053,1.026,15.386
candidate,0,0,0,0,38.5576546,163.85063,2454996.851,0.0,0.911,5.794,993.0,0.2255,87.91,39.7,3,0.5868,5775.0,4.405,1.053,1.026,15.386
candidate,0,0,0,0,3.525632539,170.0479951,2455003.048,0.0,0.12,2.59959,22335.0,0.0431,89.41,1996.7,1,0.1434,5150.0,4.572,0.793,0.855,15.224
candidate,0,0,0,0,34.84398644,172.633252,2455005.633,0.0,0.934,2.9315,4523.6,0.1971,88.92,76.8,1,0.1475,5509.0,4.482,0.871,0.84,15.684
candidate,0,0,0,0,7.748094239,174.997206,2455007.997,0.0,0.517,3.5957,2472.1,0.081,88.02,113.2,1,0.0761,5973.0,4.439,1.085,1.181,15.67
candidate,0,0,0,0,23.96793669,186.22182,2455019.222,0.0,0.416,3.827,1182.3,0.1322,89.47,27.5,2,0.7252,3747.0,4.728,0.524,0.536,15.414
candidate,0,0,0,0,8.29561738,135.79284,2454968.793,0.0,0.888,1.3421,824.3,0.0652,87.95,17.9,2,0.8214,3747.0,4.728,0.524,0.536,15.414
candidate,0,0,0,0,8.11437482,176.33968,2455009.34,0.0,0.573,2.2736,1558.0,0.0649,88.61,56.4,1,0.1566,3692.0,4.753,0.517,0.553,15.877
non-candidate,0,1,0,0,38.036729482,196.934947,2455029.935,0.0,0.501,4.34617,82872.0,0.2252,89.63,1300.0,1,0.0,5575.0,4.521,0.932,1.051,15.472
candidate,0,0,0,0,4.64090031,173.64638,2455006.646,0.0,1.28,35.512,2450.6,0.0503,19.01,296.9,1,0.9095,6463.0,4.5,0.826,0.786,15.27
non-candidate,0,1,1,1,3.747838198,171.66504,2455004.665,0.0,1.121,5.0642,616.0,0.046,53.12,138.2,1,0.861,5514.0,4.569,0.826,0.926,13.496
candidate,0,0,0,0,14.74914825,138.77799,2454971.778,0.0,0.173,6.0995,430.2,0.1221,89.47,107.4,4,0.7875,5847.0,4.191,1.402,1.113,12.487
