disposition,sy_snum,sy_pnum,pl_orbper,pl_rade,pl_ratror,st_teff,st_rad,sy_gaiamag
candidate,1,0,1.83916,0.62,0.01194,5292.0,0.48,10.6678
candidate,1,0,2.032664,1.92,0.0329,5292.0,0.535,14.3506
candidate,1,0,6.11706,1.76,0.0302,5292.0,0.535,14.3506
candidate,1,0,1.859017,64.0,0.283,6842.0,2.03,12.0994
candidate,1,0,1.85872487,2.6,0.0305049999999999,6015.0,2.01889,12.0994
candidate,1,0,1.8590179,30.5,0.2654,6244.0,1.33,12.0994
candidate,1,0,540.0,5.7,0.056,5200.0,0.94,11.5903
candidate,1,0,6.7713125000000005,12.81,0.0603,5292.0,1.947,11.5903
non-candidate,1,0,1.4408,2.6,0.0305049999999999,4154.0,1.58859,12.0723
non-candidate,1,0,0.841202,82.0,0.333,6237.0,2.31,12.2881
candidate,1,0,0.8411257,0.884,0.01098,4289.0,0.66,13.2366
candidate,1,0,0.17566,3.11,0.0248,6620.0,1.15,12.1885
candidate,1,0,29.33873041,2.6,0.0305049999999999,3171.0,0.528528,15.3988
non-candidate,1,0,22.7984,9.0,0.056,6195.0,1.37,14.4889
candidate,1,0,1.68027,2.9,0.0207,5292.0,1.275,11.4576
candidate,1,0,2.54427583,2.6,0.0305049999999999,8188.0,3.23826,8.6024
candidate,1,0,0.7099504,80.0,0.357,5292.0,2.065,12.3351
non-candidate,1,0,1.8204,2.6,0.0305049999999999,3112.0,0.5139,15.8035
non-candidate,1,0,2.809,2.6,0.0305049999999999,2901.0,0.474383,16.6459
non-candidate,1,0,1.404411,99.0,0.47,6933.0,2.02,16.6459
non-candidate,1,0,1.4044283,3.66,0.3227,2721.0,0.12,16.6459
candidate,1,0,3.400858,14.1,0.132,5292.0,0.983,10.975
candidate,1,0,3.4007758,5.57,0.06863,5520.0,0.89,10.975
candidate,1,2,6.7713125000000005,7.51,0.0551,5292.0,1.249,10.9072
candidate,1,0,6.7713125000000005,2.6,0.231,3095.0,0.864,8.18226
non-candidate,1,0,8.2781,2.6,0.0305049999999999,6520.0,0.864,12.6702
non-candidate,1,0,8.2758,10.2,0.054,5926.0,1.6,12.6702
non-candidate,1,0,8.2766395,0.724,0.06088,2586.0,0.11,12.6702
non-candidate,1,0,0.6199,2.6,0.0305049999999999,2978.0,0.596423,15.4752
candidate,1,0,28.46762,37.0,0.1704,5292.0,1.97,11.9423
candidate,1,0,28.465633,18.4,0.1642,5700.0,0.96,11.9423
non-candidate,1,0,4.5417,2.6,0.0305049999999999,2897.0,0.641751,15.6318
candidate,1,0,83830.0,12.0,0.149,4000.0,0.74,9.05299
candidate,1,0,8.79689,4.85,0.0217,5292.0,2.047,11.7872
candidate,1,0,1.153886,99.0,0.53,6841.0,1.8,11.867
candidate,1,0,1.6398934,33.0,0.4392,5175.0,0.79,12.1274
non-candidate,1,0,1.486243,58.0,0.28,5991.0,1.87,15.5411
candidate,1,0,23.210585,5.7,0.06981,5244.0,0.81,11.5816
candidate,1,0,23.21037,15.3,0.116,5292.0,1.207,11.5816
candidate,1,0,1.330023,44.0,0.167,5292.0,2.4,10.3709
candidate,1,0,50.73641,10.31,0.0701,5292.0,1.349,11.9874
non-candidate,1,0,1.124,2.6,0.0305049999999999,3074.0,0.50547,15.6597
non-candidate,1,0,0.7474,2.6,0.0305049999999999,5292.0,0.864,7.07504
candidate,1,0,46.1373,2.6,0.033,5292.0,0.723,13.5312
candidate,1,0,1.957,2.6,0.0305049999999999,3913.0,45.3731,11.1065
candidate,1,0,22.6398,1.27,0.0135,5292.0,0.862,10.0371
candidate,1,0,24.193613,30.7,0.3778,5457.0,0.87,11.0576
candidate,1,0,2.784496,2.09,0.075,5292.0,0.256,15.3473
