koi_disposition,kepid,kepoi_name,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag,ra,dec,koi_time0bk,koi_tce_plnt_num,is_confirmed,any_false_positive_flag,koi_period_log,koi_prad_log,koi_teq_log
CONFIRMED,5966322,K00303.01,CANDIDATE,0.995,0,0,0,0,60.92818866,0.009,6.3336,755.6,2.78,467.0,11.28,120.1,5638.0,4.359,1.023,12.193,293.67532,41.295361,173.37212,1.0,1,0,4.109695935605808,1.0224509277025455,6.1463292576688975
CONFIRMED,6029239,K00304.01,CANDIDATE,1.0,0,0,0,0,8.512037736,0.005,2.1861,597.8,2.14,839.0,117.11,102.2,5767.0,4.538,0.881,12.549,287.08997,41.373878,174.909816,1.0,1,0,2.1414813658601384,0.7608058290337602,6.732210706467206
FALSE POSITIVE,12106929,K00359.01,FALSE POSITIVE,0.0,0,1,1,1,5.93720557,0.976,4.882,371.4,1.84,894.0,150.81,59.9,5857.0,4.633,0.712,13.799,289.1702,50.627621,171.57597,1.0,0,1,1.7812385799206973,0.6097655716208943,6.795705775173514
FALSE POSITIVE,12107021,K00360.01,FALSE POSITIVE,0.0,0,0,1,1,5.93719982,0.748,3.95,175.6,1.47,1059.0,297.14,37.0,6102.0,4.457,1.026,13.021,289.21481,50.650921,135.95338,1.0,0,1,1.781237611451151,0.3852624007906449,6.9650803456014065
FALSE POSITIVE,8248939,K00061.01,FALSE POSITIVE,0.0,0,0,1,0,1.63345402,1.19,3.817,359.0,24.87,1750.0,2211.18,7.4,6283.0,4.372,1.091,12.179,296.93594,44.161045,181.8556,1.0,0,1,0.49069680351467315,3.2136622578153133,7.4673710669175595
CONFIRMED,12404954,K00361.01,CANDIDATE,1.0,0,0,0,0,3.247548814,0.31,2.5146,209.7,1.41,1181.0,460.67,51.6,5703.0,4.498,0.975,13.1,289.88065,51.277081,171.27807,1.0,1,0,1.1779005007044607,0.34358970439007686,7.074116816197362
FALSE POSITIVE,1571511,K00362.01,FALSE POSITIVE,0.004,0,1,0,0,14.022451457,0.189,8.08619,20083.0,14.93,810.0,101.92,2707.7,6061.0,4.401,1.05,13.424,290.99692,37.199219,177.5952096,1.0,0,1,2.6406597206008167,2.703372611551099,6.697034247666484
FALSE POSITIVE,2438070,K00363.01,FALSE POSITIVE,0.0,0,1,1,1,2.442945167,1.217,4.0145,677.9,38.29,1587.0,1499.89,102.8,5657.0,4.121,1.428,13.771,290.27777,37.78933,171.09721,1.0,0,1,0.8932043470789718,3.6451887654892032,7.369600720526409
FALSE POSITIVE,3747262,K03005.01,FALSE POSITIVE,0.0,0,0,1,0,1.312459403,0.732,1.459,36.9,1.65,2824.0,15018.33,13.9,6543.0,3.782,2.507,12.524,291.534,38.816261,132.22569,1.0,0,1,0.27190278395764805,0.5007752879124892,7.945909598613133
CANDIDATE,10190075,K03007.01,CANDIDATE,0.946,0,0,0,0,11.1916199,0.895,2.1,166.4,1.47,782.0,88.34,11.9,5646.0,4.464,0.956,14.528,283.33533,47.208832,138.04258,1.0,0,0,2.4151652750280674,0.3852624007906449,6.661854740545311
CONFIRMED,9070666,K03008.01,CANDIDATE,0.603,0,0,0,0,2.99792926,0.403,4.398,45.4,1.12,1616.0,1611.51,16.0,5888.0,4.061,1.645,12.003,282.69995,45.42577,131.76579,1.0,1,0,1.0979218036715352,0.11332868530700327,7.38770923908104
CONFIRMED,3642335,K03010.01,CANDIDATE,0.996,0,0,0,0,60.8660974,0.004,4.397,714.3,1.39,244.0,0.84,15.4,3808.0,4.734,0.522,15.757,290.51019,38.743542,179.28674,1.0,1,0,4.10867632676556,0.3293037471426003,5.497168225293202
